arrivalDate,cancellationReason,city,class,contractor,country,countryState,customer,customerDeadlineDate,customerName,deadlineDate,defect,installedTerminalModel,installedTerminalSak,installedTerminalSerialNumber,installedTerminalType,kitName,kitQuantity,lastModifiedDate,logisticOperator,neighborhood,openingDate,orderNumber,project,provider,serviceGroup,serviceType,solution,status,technicianName,totalVisits,uninstalledTerminalModel,uninstalledTerminalSak,uninstalledTerminalSerialNumber,uninstalledTerminalType,visitReason1,visitReason2,date_check,ccid_out
2019-06-12T09:07:50,,AREAL,,STONE PAGAMENTOS,BRASIL,RJ,113212943,2019-06-13T18:00:00,Mimo,2019-06-17T18:00:00,,,,,,,0,2019-06-25T09:27:00,STONE FRANQUIA,CEDRO,2019-06-06T10:22:31,2572758,,RJ - TRES RIOS FRANQUIA,DESINSTALAÇÃO,DESINSTALAÇÃO,,BAIXADA,Samuel Rodrigues de Carvalho,1,D210N,863102,51770703,GPRS-WIFI,Responsável ausente,Responsável ausente,2019-06-26,89550531150006894785
2019-06-25T00:00:00,,RECIFE,,STONE PAGAMENTOS,BRASIL,PE,185795986,2019-08-26T18:00:00,Doutor Iran Filho,2019-08-26T18:00:00,,,,,,,0,2019-06-25T15:37:19,VEJA7,Boa Viagem,2019-06-20T17:17:03,2641442,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,997403,6C048430,GPRS-WIFI,,,2019-06-26,89550532120024232663
2019-06-25T00:00:00,,NILOPOLIS,,STONE PAGAMENTOS,BRASIL,RJ,278926406,2019-03-04T18:00:00,BAR ESTORIL,2019-08-27T18:00:00,,,,,,,0,2019-06-25T12:17:06,VEJA7,Centro,2018-12-28T15:46:33,1939362,,VEJA7 - BASE,DESINSTALAÇÃO,DESCREDENCIAMENTO,,BAIXADA,VEJA7,1,S920,540555,68890572,GPRS-WIFI,(Caça) Outros,,2019-06-26,89551025142003534812
2019-06-25T00:00:00,,RIO DE JANEIRO,VJ-0.3,STONE PAGAMENTOS,BRASIL,RJ,186332202,2019-05-14T18:00:00,Boate Casa Nova,2019-05-14T18:00:00,,,,,,,0,2019-06-25T16:21:51,VEJA7,Lapa,2019-02-13T18:44:14,2109550,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,647891,6C233817,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,,RIO DE JANEIRO,,STONE PAGAMENTOS,BRASIL,RJ,136910267,2019-03-08T18:00:00,VITOR HUGO,2019-08-27T18:00:00,,,,,,,0,2019-06-25T12:14:44,VEJA7,MARECHAL HERMES,2019-01-03T17:08:14,1947852,,VEJA7 - BASE,DESINSTALAÇÃO,DESCREDENCIAMENTO,,BAIXADA,VEJA7,1,S920,1062945,6C928183,GPRS-WIFI,(Caça) Cliente deseja reativar,,2019-06-26,89551022142002923720
2019-06-25T00:00:00,,RIO DE JANEIRO,VJ-0.3,STONE PAGAMENTOS,BRASIL,RJ,155406615,2019-05-14T18:00:00,Sinuca de Bico Lapa,2019-05-14T18:00:00,,,,,,,0,2019-06-25T16:22:57,VEJA7,Centro,2019-02-13T18:47:23,2109680,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,758406,6C579761,GPRS-WIFI,,,2019-06-26,
2019-06-25T18:05:00,,PORTO ALEGRE,VJ-16,STONE PAGAMENTOS,BRASIL,RS,569481744,2019-04-16T18:00:00,Oklahoma,2019-04-16T18:00:00,,,,,,,0,2019-06-25T18:18:05,VEJA7,Centro Histórico,2019-02-12T15:09:00,2096387,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-INFODATALOG-MOTOBOY-001,0,S920,1055373,6C607375,GPRS-WIFI,,,2019-06-26,8955319929993153199
2019-06-25T00:00:00,,FLORIANOPOLIS,,STONE PAGAMENTOS,BRASIL,SC,200947290,2019-07-10T18:00:00,JOIA PNEUS,2019-07-10T18:00:00,,,,,,,0,2019-06-25T09:41:04,VEJA7,Estreito,2019-05-07T23:37:12,2436356,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,D210N,939937,51314018,GPRS-WIFI,,,2019-06-26,89550312000120522363
2019-06-25T00:00:00,,RIO DE JANEIRO,VJ-0.3,STONE PAGAMENTOS,BRASIL,RJ,186332202,2019-05-14T18:00:00,Boate Casa Nova,2019-05-14T18:00:00,,,,,,,0,2019-06-25T16:05:24,VEJA7,Lapa,2019-02-13T18:44:06,2109544,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,647892,6C233550,GPRS-WIFI,,,2019-06-26,
2019-06-25T19:19:00,(Caça) Coleta agendada,SAO PAULO,VJ-23,STONE PAGAMENTOS,BRASIL,SP,188662309,2019-06-06T18:00:00,FORNELLO PIZZARIA,2019-06-06T18:00:00,,,,,,,0,2019-06-25T19:33:46,VEJA7,SAUDE,2019-04-02T17:35:24,2305597,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-ATOMIC EXPRESS-MOTOBOY-001,0,S920,896153,68838214,GPRS-WIFI,,,2019-06-26,89551025342000642770
2019-06-25T00:00:00,,RIO DE JANEIRO,VJ-25,STONE PAGAMENTOS,BRASIL,RJ,123269142,2019-06-24T18:00:00,NOO CACHACARIA,2019-06-24T18:00:00,,,,,,,0,2019-06-25T16:42:16,VEJA7,PRACA DA BANDEIRA,2019-04-16T18:55:39,2367171,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,D210N,168413,51318569,GPRS-WIFI,,,2019-06-26,89551010142000550263
2019-06-25T00:00:00,,RIO DE JANEIRO,VJ-25,STONE PAGAMENTOS,BRASIL,RJ,148409524,2019-06-24T18:00:00,MeC CASA E ROUPA LIMPA,2019-06-24T18:00:00,,,,,,,0,2019-06-25T12:46:26,VEJA7,CORDOVIL,2019-04-16T19:44:29,2368644,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,1189424,6G283069,GPRS-WIFI,,,2019-06-26,89550532180050307938
2019-06-25T00:00:00,(Caça) Coleta agendada,INDAIATUBA,VJ-23,STONE PAGAMENTOS,BRASIL,SP,153078941,2019-06-06T18:00:00,DK BUREAU,2019-06-06T18:00:00,,,,,,,0,2019-06-25T11:13:29,VEJA7,JARDIM BELA VISTA,2019-04-02T19:08:29,2307994,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,826379,6C617054,GPRS-WIFI,,,2019-06-26,89550534120014297757
2019-06-25T00:00:00,(Caça) Operador deixou recado,INDAIATUBA,VJ-23,STONE PAGAMENTOS,BRASIL,SP,153078941,2019-06-06T18:00:00,DK BUREAU,2019-06-06T18:00:00,,,,,,,0,2019-06-25T11:09:04,VEJA7,JARDIM BELA VISTA,2019-04-02T19:08:33,2307997,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,826380,6C617131,GPRS-WIFI,,,2019-06-26,
2019-06-25T17:36:00,,ESTANCIA VELHA,VJ-23,STONE PAGAMENTOS,BRASIL,RS,186452155,2019-06-06T18:00:00,Jauri Junior,2019-06-06T18:00:00,,,,,,,0,2019-06-25T17:48:02,VEJA7,CENTRO,2019-04-02T18:04:41,2306507,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-INFODATALOG-MOTOBOY-001,0,S920,794406,6C093946,GPRS-WIFI,,,2019-06-26,
2019-06-25T19:42:00,(Caça) Coleta agendada,FLORIANOPOLIS,VJ-23,STONE PAGAMENTOS,BRASIL,SC,183197319,2019-06-06T18:00:00,BONECA DE LUXO,2019-06-06T18:00:00,,,,,,,0,2019-06-25T19:48:12,VEJA7,Centro,2019-04-02T18:17:14,2306876,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-DLC LOGISTICA - MOTOBOY - 01,1,S920,536496,6C186815,GPRS-WIFI,,,2019-06-26,89550531180046351553
