ccid,customer,date_check,logistic_status,provider,serviceGroup,installedTerminalSerialNumber,orderNumber,uninstalledTerminalSerialNumber
89550532110019351743,118733293,2019-05-17,EM PRODUÇÃO,PE - RECIFE STONE PAGAMENTOS,INSTALAÇÃO,,,
89551018142000185484,174081730,2019-05-17,EM PRODUÇÃO,STONE PAGAMENTOS,INSTALAÇÃO,,,
89551018142000066098,179066493,2019-05-17,EM PRODUÇÃO,STONE PAGAMENTOS,INSTALAÇÃO,,,
89550532180053009770,493662173,2019-05-17,EM PRODUÇÃO,STONE PAGAMENTOS,INSTALAÇÃO,,,
89550312000147113709,128126718,2019-05-17,EM PRODUÇÃO,SC - BALNEARIO STONE PAGAMENTOS,INSTALAÇÃO,,,
89551018142001161336,128126718,2019-05-17,EM PRODUÇÃO,SC - BALNEARIO STONE PAGAMENTOS,INSTALAÇÃO,,,
89550532190042253132,126503984,2019-05-17,EM PRODUÇÃO,SP - CARAGUATATUBA STONE PAGAMENTOS,INSTALAÇÃO,,,
89550312000147113766,128126718,2019-05-17,EM PRODUÇÃO,SC - BALNEARIO STONE PAGAMENTOS,INSTALAÇÃO,,,
89551021142001245647,356392373,2019-05-17,EM PRODUÇÃO,STONE PAGAMENTOS,INSTALAÇÃO,,,
89551018142001164702,128126718,2019-05-17,EM PRODUÇÃO,SC - BALNEARIO STONE PAGAMENTOS,INSTALAÇÃO,,,
89551018142001886544,146676189,2019-05-17,EM PRODUÇÃO,SP - PINHEIROS STONE PAGAMENTOS,INSTALAÇÃO,,,
89551021142001242305,146676189,2019-05-17,EM PRODUÇÃO,SP - PINHEIROS STONE PAGAMENTOS,INSTALAÇÃO,,,
89551022242001888435,144356811,2019-05-17,EM PRODUÇÃO,SP - OURINHOS STONE PAGAMENTOS,INSTALAÇÃO,,,
89550531190027288484,430792926,2019-05-17,EM PRODUÇÃO,STONE PAGAMENTOS,INSTALAÇÃO,,,
89551025342000151699,131340441,2019-05-17,EM PRODUÇÃO,STONE PAGAMENTOS,INSTALAÇÃO,,,
89551022242001845849,154654794,2019-05-17,GOOD,MG - BELO HORIZONTE STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550531150006863228,103930796,2019-05-17,GOOD,PB - JOAO PESSOA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551025142004184336,134784389,2019-05-17,GOOD,SC - BRUSQUE STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550312000087160249,687465529,2019-05-17,GOOD,SC - FLORIANOPOLIS STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551022242000941847,183286539,2019-05-17,GOOD,RJ - VOLTA REDONDA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551022142002352730,283015300,2019-05-17,GOOD,SP - MOOCA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550532180053006248,666871404,2019-05-17,GOOD,SP - MOGI STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550532120023799761,458296908,2019-05-17,GOOD,SP - JABOTICABAL STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551018142000571618,300986215,2019-05-17,GOOD,SP - MOGI STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550531150007225757,300986215,2019-05-17,GOOD,SP - MOGI STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550531150006893357,446672481,2019-05-17,GOOD,PR - LONDRINA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551018142001872130,195188065,2019-05-17,GOOD,MG - PATOS DE MINAS STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551022342001454616,120526378,2019-05-17,GOOD,BA - FEIRA DE SANTANA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551025142003056014,151545799,2019-05-17,GOOD,PR - CURITIBA SUL STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551022242001830999,146953374,2019-05-17,GOOD,RJ - BUNKER 1 STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551025342000165350,183621082,2019-05-17,GOOD,SP - CAMPINAS STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551025142010388574,183621082,2019-05-17,GOOD,SP - CAMPINAS STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551080137013998249,138755642,2019-05-17,GOOD,RN - MOSSORO STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550531150007209439,191752248,2019-05-17,GOOD,SC - CRICIUMA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551080137013998306,138755642,2019-05-17,GOOD,RN - MOSSORO STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551080137013998298,138755642,2019-05-17,GOOD,RN - MOSSORO STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550534150008780369,185763109,2019-05-17,GOOD,BA - FEIRA DE SANTANA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89555405100005120338,338156560,2019-05-17,GOOD,SP - ZONA NORTE STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550312000122202642,141660543,2019-05-17,GOOD,RJ- STONE REDIRECT,DESINSTALAÇÃO,,,
89550531910008589950,357694664,2019-05-17,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551017142001317673,357694664,2019-05-17,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551025342000437833,177562001,2019-05-17,GOOD,BA - FEIRA DE SANTANA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551018142001079553,174081730,2019-05-17,GOOD,STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551025342000634025,115220105,2019-05-17,GOOD,SP - ATIBAIA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550531150006861263,157330412,2019-05-17,GOOD,PB - CAMPINA GRANDE STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550532180050292197,209842763,2019-05-17,GOOD,STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551022142000360271,113485656,2019-05-17,GOOD,SP - AMERICANA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550532110019351743,118733293,2019-05-17,GOOD,PE - RECIFE STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551022242002568788,365780051,2019-05-17,GOOD,MG - JUIZ DE FORA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551025142007355339,365780051,2019-05-17,GOOD,MG - JUIZ DE FORA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550532120024244023,191682242,2019-05-17,GOOD,MG - BELO HORIZONTE STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551022242002560132,314578806,2019-05-17,GOOD,SP - SOROCABA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551025342000114333,120359894,2019-05-17,GOOD,RJ - BUNKER 1 STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551022242001818382,736842879,2019-05-17,GOOD,SP - BAURU STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551018142000875977,697503002,2019-05-17,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551018142000875886,697503002,2019-05-17,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551017142001588927,210888594,2019-05-17,GOOD,STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550534150009165875,751624287,2019-05-17,GOOD,PE - OLINDA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550532180051320245,169527248,2019-05-17,GOOD,STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550532120024266216,214475085,2019-05-17,GOOD,PR - GUARAPUAVA FRANQUIA,DESINSTALAÇÃO,,,
89551080137011115804,169512397,2019-05-17,GOOD,SC - JOINVILLE STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550534150015170067,184035010,2019-05-17,GOOD,BA - FEIRA DE SANTANA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89550534150015170232,184035010,2019-05-17,GOOD,BA - FEIRA DE SANTANA STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551025142007308932,179066493,2019-05-17,GOOD,STONE PAGAMENTOS,DESINSTALAÇÃO,,,
89551022242002517082,172244218,2019-05-17,GOOD,RJ - BUNKER 1 STONE PAGAMENTOS,DESINSTALAÇÃO,,,
