ccid,logistic_status,customer,serviceGroup,provider,date_check,installedTerminalSerialNumber,orderNumber,uninstalledTerminalSerialNumber,response_wkf
89550531150006894785,GOOD,113212943,DESINSTALAÇÃO,RJ - TRES RIOS FRANQUIA,2019-06-26,,2572758,51770703,False
89550532120024232663,GOOD,185795986,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2641442,6C048430,False
89551025142003534812,GOOD,278926406,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,1939362,68890572,False
89551022142002923720,GOOD,136910267,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,1947852,6C928183,False
8955319929993153199,GOOD,569481744,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2096387,6C607375,False
89550312000120522363,GOOD,200947290,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2436356,51314018,False
89551025342000642770,GOOD,188662309,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2305597,68838214,False
89551010142000550263,GOOD,123269142,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2367171,51318569,False
89550532180050307938,GOOD,148409524,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2368644,6G283069,False
89550534120014297757,GOOD,153078941,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2307994,6C617054,False
89550531180046351553,GOOD,183197319,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2306876,6C186815,False
89551025342000667850,GOOD,578045881,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2307560,6C574283,False
89553403000043088264,GOOD,127932827,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2307863,6C609574,False
89550532120024230469,GOOD,206152860,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2308210,6C630506,False
89551080137011112884,GOOD,845647928,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2309218,6C933030,False
89550531150006959893,GOOD,689507247,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2096663,6C839292,False
89551001126000810661,GOOD,840693798,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2172429,51538371,False
89550534180025092407,GOOD,145055683,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2096074,6C198793,False
89551022142000373787,GOOD,861163009,DESINSTALAÇÃO,VEJA7 - BASE,2019-06-26,,2141379,6C201388,False
